perm_string,objective
"3,2,0,4,1",7470.0
"2,4,3,1,0",7387.0
"2,0,1,4,3",7568.0
"3,0,4,1,2",7517.0
"3,1,4,0,2",7538.0
"1,3,4,0,2",7488.0
"3,1,0,2,4",7580.0
"1,4,3,2,0",7439.0
"0,3,1,4,2",7518.0
"4,1,3,0,2",7481.0
"0,2,1,4,3",7642.0
"0,3,2,1,4",7548.0
"0,1,2,3,4",7753.0
"4,0,3,2,1",7532.0
"0,2,3,4,1",7489.0
"0,4,3,1,2",7479.0
"4,2,0,1,3",7630.0
"1,0,2,4,3",7647.0
"3,1,0,4,2",7529.0
"1,4,3,0,2",7554.0
"1,3,4,2,0",7425.0
"2,0,1,3,4",7571.0
"3,1,4,2,0",7468.0
"3,0,4,2,1",7505.0
"2,4,3,0,1",7457.0
"3,2,0,1,4",7574.0
"1,0,2,3,4",7556.0
"4,2,0,3,1",7475.0
"0,2,3,1,4",7549.0
"0,4,3,2,1",7487.0
"0,3,2,4,1",7480.0
"4,0,3,1,2",7532.0
"0,1,2,4,3",7659.0
"0,3,1,2,4",7634.0
"0,2,1,3,4",7760.0
"4,1,3,2,0",7478.0
"1,2,0,3,4",7554.0
"1,3,0,4,2",7527.0
"4,3,0,1,2",7498.0
"1,3,2,4,0",7455.0
"4,2,3,1,0",7409.0
"2,0,4,1,3",7657.0
"4,0,2,3,1",7486.0
"2,1,0,4,3",7572.0
"4,0,1,3,2",7479.0
"2,3,1,4,0",7399.0
"2,3,4,0,1",7468.0
"3,4,0,1,2",7553.0
"4,2,3,0,1",7464.0
"1,3,2,0,4",7523.0
"4,3,0,2,1",7538.0
"1,3,0,2,4",7622.0
"1,2,0,4,3",7641.0
"3,4,0,2,1",7510.0
"2,3,4,1,0",7479.0
"2,3,1,0,4",7516.0
"4,0,1,2,3",7543.0
"2,1,0,3,4",7637.0
"2,0,4,3,1",7499.0
"4,0,2,1,3",7571.0
"0,3,4,2,1",7520.0
"0,1,3,4,2",7558.0
"1,0,4,2,3",7678.0
"4,1,0,2,3",7581.0
"0,2,4,1,3",7539.0
"4,1,2,3,0",7426.0
"0,1,4,2,3",7698.0
"1,0,3,2,4",7582.0
"0,4,1,3,2",7573.0
"0,4,2,3,1",7498.0
"3,0,2,4,1",7469.0
"3,1,2,4,0",7441.0
"3,2,1,0,4",7572.0
"3,0,1,2,4",7586.0
"1,4,2,0,3",7593.0
"3,2,4,0,1",7490.0
"1,4,0,3,2",7550.0
"0,4,2,1,3",7679.0
"1,0,3,4,2",7567.0
"0,4,1,2,3",7589.0
"0,2,4,3,1",7488.0
"0,1,4,3,2",7678.0
"4,1,2,0,3",7591.0
"0,3,4,1,2",7491.0
"4,1,0,3,2",7558.0
"0,1,3,2,4",7662.0
"1,0,4,3,2",7568.0
"3,2,4,1,0",7436.0
"1,4,0,2,3",7631.0
"1,4,2,3,0",7458.0
"3,0,1,4,2",7531.0
"3,2,1,4,0",7436.0
"3,1,2,0,4",7502.0
"3,0,2,1,4",7639.0
"2,1,3,0,4",7580.0
"2,4,1,3,0",7426.0
"2,0,3,4,1",7504.0
"2,4,0,3,1",7535.0
"3,4,1,2,0",7445.0
"2,1,4,0,3",7611.0
"3,4,2,0,1",7447.0
"2,3,0,1,4",7547.0
"1,2,4,0,3",7569.0
"1,2,3,4,0",7442.0
"4,3,2,1,0",7398.0
"4,2,1,0,3",7543.0
"4,3,1,2,0",7410.0
"2,3,0,4,1",7515.0
"3,4,2,1,0",7393.0
"3,4,1,0,2",7475.0
"2,4,0,1,3",7605.0
"2,1,4,3,0",7441.0
"2,0,3,1,4",7550.0
"2,1,3,4,0",7396.0
"2,4,1,0,3",7597.0
"4,3,1,0,2",7406.0
"4,2,1,3,0",7437.0
"4,3,2,0,1",7443.0
"1,2,3,0,4",7616.0
"1,2,4,3,0",7422.0
